article_id,article_frame,comment_id,comment_frame,topic_group
10012655,1,06893ebd38d143c1857ca10e43b4358d,1,immigration
10012655,1,08e83eecd4984813b996476fd124146f,1,immigration
10012655,1,15c61d2d4ac542228caaf28967fb1a3d,1,immigration
10012655,1,24931fa194f248fdad4a3957fd975b76,15,immigration
10012655,1,3296cdce601a4c8e81c671b581282281,15,immigration
10012655,1,33750cc126314c84b4babae99e97b347,4,immigration
10012655,1,4923af97917843dcafbf374d56e26e1d,1,immigration
10012655,1,57364de3165d41b383ed3458a58e7f77,1,immigration
10012655,1,5bd2bef942d14e77bd5bc8586ecbef77,1,immigration
10012655,1,7444480408c24db69f2b6427a65d76d1,1,immigration
10012655,1,820ca7b7a34e44fa94ff0b1e27f97fe8,15,immigration
10012655,1,82373e13cfa440b7ac9b7dd6788c5a7f,1,immigration
10012655,1,8817325c040b4974b360d073e2f1abb2,15,immigration
10012655,1,88861ede36de4818b5809ecf9fb83bac,6,immigration
10012655,1,9b90df46c63b4893b635386ec3cad5dd,6,immigration
10012655,1,ac49765f024640ae93e0913cdfbb4d48,1,immigration
10012655,1,af38e9eb1a684c769335a9a2d3ffaeae,15,immigration
10012655,1,b226fde6ba6947a699edc5620393aefc,1,immigration
10012655,1,c5b63fd3000e4306960411384e2999b2,1,immigration
10099582,6,04cd138929ae4745bea2f7ff343b1aaa,6,climate change
10099582,6,0aa0e76d0f1c4acabaad0079b0efe333,15,climate change
10099582,6,0e23f09e94634c599a639c93f3932244,5,climate change
10099582,6,11cb95b99ed943bf9592c987d7dd1603,15,climate change
10099582,6,1817ae8ece33450892e911be84f45307,12,climate change
10099582,6,18ed9b748f45447cbca887617935ea4b,6,climate change
10099582,6,2da7ab12e23649e8a22bf06ec1e362ef,6,climate change
10099582,6,3218aff628f441e0a610439c61f2d1a5,3,climate change
10099582,6,336be511da0b44b1932603194daaf098,6,climate change
10099582,6,3b0836a4117847808700de1128f07fc1,6,climate change
10099582,6,40b9eed49bed4791bda7b9c57119537c,15,climate change
10099582,6,44075b349bb642ef8fa1311683d7f4a0,1,climate change
10099582,6,451edc6e18594eb39a63d3fcc92a66dd,15,climate change
10099582,6,4a8549f5238a4c1995e720e84df4096b,11,climate change
10099582,6,5257bbe4283047a8867e80cc908096c9,15,climate change
10099582,6,538015a1947846f6a2f2f41aeb978df7,1,climate change
10099582,6,53edfad1682d4fa88109e4100f750557,15,climate change
10099582,6,55d9e54a7b2d4de38026129be19909a0,15,climate change
10099582,6,6033f894e7e746118e68c27ac0a7c71c,5,climate change
10099582,6,6b0721314c104a6aa87585d5ff9f7988,6,climate change
10099582,6,6b1e032a105a4732a24eca17de1ca41d,6,climate change
10099582,6,6dfb163235394c8aacbdf3bf3620a3d1,15,climate change
10099582,6,6fada3b7ebe84558b34533bb3494fa87,15,climate change
10099582,6,708437f355f64100be81ffbbc06f19ab,6,climate change
10099582,6,7c28595d7d244166ad8bc6f0e9b4e759,6,climate change
10099582,6,84f273e800384ed582a9503b15cb3e20,6,climate change
10099582,6,873076bc0b92469e89ead76bafcd59e7,6,climate change
10099582,6,8a33397475b64a41b3bfbf508ff994ef,6,climate change
10099582,6,9c19d92855a6477fad3349d3624f0a50,6,climate change
10099582,6,9cbaf38462c947fe93a4f8179c713618,1,climate change
10099582,6,aaacd421905c4b0ba9a13e699e037d0b,15,climate change
10099582,6,b79281f49aa0406195df8661d56d80cf,15,climate change
10099582,6,c557b58fdfd74db0ae6783196d4ae441,6,climate change
10099582,6,c925dd103adb43aa8ac91f6276a9124f,15,climate change
10099582,6,cbea88901dc44e67954cc076927c5fe2,15,climate change
